English,"Toro Tegu (Toupere, JH)","Ben Tey (Beni, JH)","Bankan-Tey (Walo, JH)","Nanga (Anda, JH)",Donno So,"Jamsay (Douentza area, JH)","Perge Tegu (Pergué, JH)","Gourou (Kiri, JH)","Jamsay (Mondoro, JH)","Togo-Kan (Koporo-pen, JH with BT)","Yorno So (Yendouma, JH)",Tomo Kan (Segue),Tomo Kan (Diangassagou),Tommo-So (JH),"Tommo-So (Tongo Tongo, LM)","Dogul Dom (Kundialang, JH)","Dogul Dom (Bendiely & Kundialang, BC)",Tebul Ure (JH),"Yanda Dom (Yanda, JH)","Najamba (Kubewel-Adia, JH)","Tiranige (Boui, JH)","Mombo (Songho, KP)","Ampari (Nando, KP)",Bunoge (Boudou),Penange (Pinia)
"shake (millet grain, cow-peas, etc.) in a filtering basket to remove sand",zìgùtú\\zìgùtó,yìgé,pɛ́:tí,"yàgá, yàgíbí",,yìgé,yìgé,,,yìgé,yìgé-\\yìgú,,,,"yìgé, yɛ̀ŋgɛ́",,,,yìgé\\yìgè-lí,,,gɛ́mbɛ́,,,
"shake an appendage of (e.g. sb's arm, a tree branch)",zìgùtú\\zìgùtó,yìgé,ɲùmá,ɲùmɔ́,,yìgé,yìgé,,,jìgé-m̀,jìgíbú-\\jìgíbú xxx[final u?],,,,yùmɔ́,,,zìgìbé (zìgìbé-tì-),"zìgúbé\\zìgùbè-lí, yìgé\\yìgè-lí",ɲùmɛ́,yígíjó,yígírómì,,yígúrè,yígírè
jiggle (sth) with up and down motion,zɛ̀kùtú\\zɛ̀kùtá,jùgùtó,,yàgírí,,jìgìré,jùgùtó,,,yìgí-rì\\yìgé-ré,yìgé-\\yìgú,,,,yìgé,,,,,,,,,,
"jiggle, shake gently back and forth (e.g. sb's hand)",zìgùtú\\zìgùtó,jìgìré,,yìgé,,"jùgùró, jìgìré",jùgùtó,zìgìré,,jìgé-m̀,jìgíbú-\\jìgíbú xxx[final u?],,,,wìdé,,,,,ɲùmɛ́,,yígírómì,,,
"shake (an entire object, e.g. a tree)",zìgùtú\\zìgùtó,yìgé,ɲùmá,yìgíbé,jìgù-mɔ́\\jígù-m-ì,yìgé,jìgìré,,,yìgí-rì\\yìgé-ré,jìgíbú-\\jìgíbú xxx[final u?],,,,yùmɔ́,,,,yìgé\\yìgè-lí,bìŋgíjí\\bìŋgìjè,yígíjó,yígírómì,,ɲíŋó-mì,yígírè
tap (e.g. garment) to knock off dust,pógú\\pógó,pógó,pó: tí,pógó,pógò\\póg-è,pógó,pógó,,,lágá,pógó-\\pógó,,,,pógó,,,,pógó\\pógó-lì,pógí,píríyó,,,píryè,pɛ́búgɛ̀
"jiggle (animal intestine filled with water, to dislodge contents)",zìgùtú\\zìgùtó,jùgùtó,,yìgé,,mɔ̀ŋɔ́,jùgùtó,,,yìgí-rì\\yìgé-ré,yìgé-\\yìgú,,,,pɔ́ndɔ́,,,,yìgé\\yìgè-lí,ɲùmɛ́,,,,,
"(woman) shake up and down, jiggle (baby carried on the back, to pacify it)",zɛ̀kùtú\\zɛ̀kùtá,yɛ̀gùrú,pɛ́: tí,"yìgé, bɛ̀gírí",yɛ̀gɛ̀rɛ́\\yɛ́gìr-ì,yɛ̀gɛ̀rɛ́,yɛ̀gɛ̀rɛ́,,,yìgí-rì\\yìgé-ré,yɛ̀gɛ́rɛ́-\\yɛ̀gúrú,,,,"yùmɔ́, yɛ̀gí-rɛ́",,,,yɛ̀gúbɛ́\\yɛ̀gùbà-lí,mâŋ-mâŋ kán\\kànè,,dɔ́bɛ́,,,
"(sb) tremble, be shaking, shiver","zìgùtú\\zìgùtó, jí\\jɛ́",cíwⁿɛ́,címɛ́,kímɛ́,kímè\\kím-è,cíwⁿé,kíwⁿɛ́,,,kíwⁿí\\kíwⁿí,sɔ́:ⁿ-\\sɔ́:ⁿ,,,,kímɛ́,,,,"kímé\\kímé-lì, tɛ́gíbí-yɛ́\\tɛ́gíbí-yá-lì",kílbí-y\\kìlbì-yè,"yɛ́wɔ́, péló",súlɔ́ súlɛ́,,kíló-mì,súlɛ́
"trembling, shaking with fear (adverb)",,kím-kìm,,,,,,,,,kɛ̀m-kɛ̀m,,,,,,,,"tɛ̀gú-tɛ̀gú, kìm-kìm(-kìm)",,,,,,
"(sb) be shivering and miserable (due to rain, cold weather, or a head cold)",,,,sɔ́:rⁿíyⁿí,,,sɔ́:rⁿɔ́,,,,,,,,gòdú ɛ̀lɛ̀lú sɛ̀-lɛ́,,,,,,,súlɛ́,,,
shivering with cold (adverb),cěw-cěw,,,,,,kǐm-kǐm,,,tɛ̀gú-tɛ̀gù,kěw-kèw,,,,"kár-kár, pɛ́gú-pɛ́gú",,,,kìm-kìm(-kìm),,,,,,
coming back (e.g. from fields) shivering miserably after a rain (adverb),,sɔ̌:ⁿ→,,sɔ̀:rⁿɛ́→,,,sɔ̀:rⁿɛ́→,,,,,,,,,,,,,,,,,,
(sb) have an involuntary jerk of the body,,,,,,,kíwⁿɛ́,,,,sɔ́:ⁿ-\\sɔ́:ⁿ,,,,yùmí-yɔ́,,,,,mɛ̀nɛ́,,,,,
"quivering in the air (dog's tongue sticking out, bone that dog is chewing hungrily) (adverb)",zál-zál,,xxx,járágá-járágá,jàlàgá-jàlàgà,jálgá-jálgá,járgá-járgá,,,hǎl-hàl,bálágá-bálágá,,,,,,,,zàrágá-zàrágá,xxx,,,,,
flap (wings),pípírú\\pípíró,píré,sɔ́,"yìgé, súyɔ́, pɛ́w-pɛ̀w kárⁿí",pírù-pìrù kán(à),píríwé,yìgé,,,jàmá,wìjɛ́-\\wìjí,,,,"bɛ̀ndɛ́, jàwá",,,,yàw-yàw kán,mèná-m,,jɛ́mbɛ́,,númbè,bálé
(e.g. bird) pass by with a swoosh,,pɛ́lúm láwá,,pɛ́llím láwá,,pɛ́lím gàrá,píw∴ gɛ̌:,,,pǐm gàrá,pɛ́llím gàlá,,,,sùúù-nì\\pìlá-nì gàlá,,,,pɛ́lúm nǎŋ,"wùjí tíŋgɛ́, [wìyû→ nɛ̀] tíŋgɛ́",,ná:gyê:,,,
(e.g. flag) flap in the wind,"jí\\jé (""dance"")",,,,,,yɛ́llí-yɛ́llí kárⁿá,,,wìjɛ́,wílɛ́-wílɛ́ kárⁿá,,,,wíílé-wíílé káná,,,yùmìlí,,yɛ̀ndɛ́-lí-yɛ́,yɛ́lí-yɛ́lí,,,,yì:lì-yà:lì kání
(e.g. flag) flapping in the wind (adverb),yɛ́l-yɛ́l,yél-yél,yélí-yélí,yél-yél,wíllɛ̀ŋ-wíllɛ̀ŋ,yɛ́l-yɛ́l,yɛ́llí-yɛ́llí,,,yɛ́l-yɛ́l,wílɛ́-wílɛ́,,,,wíílé-wíílé,,,,wílɛ́-wílɛ́ kán,,,wílyê:,,,yì:lì-yà:lì
wave (e.g. hand) as a greeting or signal,,nǎ: dáwɛ́,,yìré,póndù\\póndì,yìré,yɛ́lúrú-yɛ́lúrú kárⁿá,,,jèɲé,nòyⁿ-dây dǎ:,,,,wìdé,,,,dàyé-dàyé kán,dǎy\\dàyè,yénjíró,wíjé,,,
wave (e.g. cloth) with a single swatting or swooshing motion,,pɛ́lúm káyⁿ,,pɛ́llím kárⁿí,,yě:,"yɛ́lúrú kárⁿá, yɛ́lɛ́rɛ́m kárⁿá",,,wìjɛ́,wìjɛ́,,,,wìdé,,,,,,,yígé,,,
wave around (e.g. cloth) vigorously,yǐw\\yìwó,wìsɛ́,yélí-yélí káŋ,wìnjé-mí,,yílám-yílám kárⁿá,,,,wìjɛ́,wìjɛ́,,,,wìgí-lé,,,,wílɛ́-wílɛ́ kán,yɛ̀gílɛ́,,wílómì // wílyómì,,,
"wave (a large cloth or flag), with a sweeping motion",,yàlìrí,xxx,,,xxx,xxx,,,wìjɛ́,wìgílí-mɔ́,,,,wègílé,,,,,xxx,,,,,
"act of waving (a large cloth or flag), with a sweeping motion",,yárálá,xxx,,,yírálám,yálárám,,,,wìgìlǐ-m-∅,,,,,,,,,xxx,,,,,
"act of waving (one's arm or a small cloth), with a sweeping motion",,nǎ:-yándúrúm,xxx,,,yɛ́l-yɛ́l,"yɛ́lɛ́rɛ́m, yɛ́lúrú",,,,,,,,,,,,,xxx,,,,,
"act of waving (sth, with a sweeping motion of one's arm)",,,,yɛ́lím,,,,,,,,,,,wìdí-yé,,,,,,,,,,
swish (e.g. cloth) with a single motion,,,,,,"yírɛ́lám kárⁿá, jírɛ́lám kárⁿá",yálárám kárⁿá,,,wìjɛ́,wìjɛ́-\\wìjí,,,,wìdé,,,,"wìzɔ́\\wìzà-lí, wùzɔ́\\wùzà-lí",wùjé-m,,yígé,,,
"swishing motion, swoosh (of cloth, of sb flashing by, etc.)",,,,,,"yírɛ́lám, jírɛ́lám",yálárám,,,,,,,,,,,,,,,,,,
"swing (e.g. arms, as one walks)",,wìsɛ́,,wìsɛ́,wìdì-wídì kán(à),wìjɛ́,"wìsɛ́, jùmbɔ́",,,wìjɛ́,wìjɛ́-\\wìjí,,,,wìdé,,,,"wìzɔ́\\wìzà-lí, wùzɔ́\\wùzà-lí",wùjí\\wùjè,,wíjé,,,
tangle (e.g. rope) up,kɔ́lú\\kɔ́lɔ́,níŋgí,níŋgí-mí,níndí-yé-mí,níŋ-è:-mɔ̀\\níŋ-ì:-m-ì,níŋé,níŋgí-wɛ́,,níŋé,níŋ-ɛ́:-m̀,níŋ-ɛ́:-mɔ́,,,,"mùnnɔ́, tóɲɲó",,,níndé (níndé-tì-),mùnó\\mùnò-lí,ɛ́l-lɛ́,púndó,nígíjè,,,nándé
(e.g. rope) be in a clump (not straightened out),mùnú\\mùnó,mùlón bù,,púndí-yé,,tóɲó jìné,"yɔ́gù kɔ̀, mùlì-yɛ́",,,"súrɔ́, mùnɔ́",mùn-ɛ́:,,,,"tóɲɲí-yó, mùnní-yɛ́",,,,tónzí-yó\\tónzí-yó-lì,tóndí-y\\tòndì-yè,,tɔ́yⁿɛ̂:,,,
(e.g. rope) be or become tangled,kɔ́lú\\kɔ́lɔ́,níŋgí,níŋgí,níndí-yí,níŋ-è:-\\níŋ-ì-ỳ,níŋé,níŋgí-yɛ́,,níŋé,níŋ-ì:\\níŋ-ɛ́:,níŋ-ɛ́:,,,,índí-yɛ́,,,nínd-í: (nínd-í:-yà-),mùnú-lí-yé\\mùnù-lì-yè-lí,ɛ́rí-yɛ́,púndí-yó,nígíjyê:,,jì:ʔbì kánì,nándé
untangle (sth tangled or disordered),kɔ́lú-rú\\kɔ́lú-rɔ́,níŋgí-rí,níŋgí-rí gò-ndó,níndí-rí,níŋè-lè\\níŋì-l-ì,níŋí-rⁿé,níŋgí-rɛ́,,níŋí-rⁿé,níŋì-rⁿì\\níŋɛ́-rⁿɛ́,"níŋɛ́-lɛ́, níŋí-l gǒ:-nɔ́",,,,índí-lɛ́,,,,mùnú-ló\\mùnù-lò-lí,ɛ́l-lɛ́ gǒ-m,púndú-ló,nígílè,,jíttì kánì,nándú-lè
"lean one's shoulder or back against (tree, wall)",bìlú\\bìlá,dìsì-yé,"jɛ́:sà káŋ, bɛ̀ŋgí:\\bɛ̀ŋgíyà",dìsí-yé,,bɛ̀ŋɛ́,dìsì-yé,,,dìw-î:\\dìw-é:,dìj-ɛ́:,,,,"dììnì-yɛ́, dìdí-yé",,,,dìzí-yé\\dìzì-yè-lí,bìní-yɛ́,béní-yó,tínjɛ́,,báŋgè,bán-jè
"lean on (cane), push down on (stick)",tíŋgúrú\\tíŋgúró,tísé,tísé\\tísó,tímbé,lɛ́dɛ̀\\lɛ́d-ɛ̀,tíjé,tímbé,,,tíwé\\tíwé,túmó-\\túmú,,,,túmbí-gí-yé,,tìmì-yé,,túmbí-yó\\túmbí-yó-lì,túbí-yɛ́,táw-yó,tínjɛ́,,tíŋì,táb-yè
"push down on (e.g. a rock) with one's hand, to support oneself while climbing or getting up",tísíy\\tísíyó,tísé,tísé\\tísó,tísé,támmà\\támm-ì,tíjé,tísé,,,lɛ́jɛ́,tíj-ɛ́:-\\tíj-í:,,,,"túmbí-gí-yé, táábí-yɛ́",,,,tábí-yɛ́\\tábí-yá-lì,túbí-yɛ́,,dámbé,,,
(e.g. stick) be leaning (e.g. against a wall or tree),,tíwé,,tíwí-yé,,tíwé jìné,tíw-yé,,,tíw-ì:\\tíw-é:,tíbɛ́rɛ́-\\tíbírú,,,,tíbí-yé,,,,tíbò,bìní-yɛ́,,báŋgyê:,,,
"lean (sth) against sth else, put (sth) in contact with sth else",bìlú\\bìlá,tíw-ré,jɛ́:sà káŋ,tíwré,,"tíjí-ré, tíríwé",tíw-ré,,,tíwì-rì\\tíwé-ré,tíbɛ́rɛ́-\\tíbírú,,,,tíbí-ré,,,,tíb-dó\\tíb-dó-lì,bìnɛ́,,báŋgírè,,báŋgè,báŋgú-rè
remove (a barrier) that sth is up against,,,,,,tíjí-ré,,,,,"tíjí-lé-\\tíjí-l xxx[medial ɛ?], tíjí-l gǒ:-nɔ́",,,,dìdí-lé,,,,,,,báŋgúlè,,,
"(sb standing) pull down hard (sb or sth, from the top, e.g. to make sb fall or to uproot a sugar cane stem)",zǔw\\zùwó,wòró,,wòró,wòró\\wórò,wòró,wòró,,,wòró,wòró-\\wòró,,,,wòró,,,,wòdó\\wòdò-lí,wǒr\\wòrè,,gímbɛ́,,,
be up close to or against (sth),gǎŋ\\gàŋá,pá:-yí,pá:,"kɛ́kɛ́w bě:, pá:-yí",,káɣá,páw-yá,,,dìw-î:\\dìw-é:,jàŋ-ɛ́:-\\jàŋ-í:,,,,bàmbí-yɛ́,,,,pámí-yɛ́\\pámí-yá-lì,,béní-yó,dáŋgyê:,,,
"press against, push on or against (sth) with one's hand",nɛ̀sú\\nɛ̀sá,lɛ́sí,lɛ́sí,lɛ́sí,lɛ́dɛ̀\\lɛ́d-ɛ̀,lɛ́jɛ́,lɛ́sɛ́,lɛ́sɛ́,,tɔ́wɔ́,nɛ́ɲɛ́-\\nɛ́ɲɛ́,,,,nɛ́njɛ́,,,,lɛ̀zɛ́\\lɛ̀zá-lì,nɛ̀jɛ́,dámbó,tínjɛ́,,tábbè,tábyè
"purse and project out one's lips, pout",ká bìlú\\bìló,"mǒ: súyⁿí, mǒ: bàsá",xxx,nɔ̌: sómó,sómbòrò-mɔ̀\\sómbùrù-m-ì,ká: súwⁿó,"ká: súwⁿó, ká: bàsá",,,káⁿ mùɲó,kɛ̀nɛ́ bìɲɛ́,,,,,,,,kɛ́nɛ̀ súmɔ́\\súmá-lì,xxx,,,,,
"pursing and projecting out one's lips, pouting (intensifier)",,dɔ́ŋ-dɔ́ŋ,xxx,dɔ́ŋ dɔ́ŋ dɔ́ŋ,,dɔ́m dɔ́m dɔ́m,dɔ́ŋ-dɔ́ŋ,,,tɔ́ⁿ-tɔ́ⁿ,tɔ́yⁿ→,,,,,,,,,xxx,,,,,
"purse one's lips (without projecting them out, i.e. not pouting)",[ká mùkèw] kárⁿú,mǒ: árá,xxx,,,xxx,xxx,,,káⁿ mɛ̀mɛ́ ,xxx,,,,tɛ́mmɛ́,,,,,xxx,,,,,
squeeze (e.g. arm) with one's hand,kám\\káwⁿá = ká:ⁿ,pɔ́rɔ́,"kámá, pɔ́rɔ́","pɔ́rɔ́, kámá",kámà\\kám-ì,kɔ́wⁿɔ́,pɔ́rɔ́,kɔ́wⁿɔ́,kɔ́wⁿɔ́,káwⁿá,káwⁿá-\\káwⁿú,,,,kámá,,,kámá (kámá-tì-),"kám, pɔ́ndɔ́",kám\\kàmè,málá-m(ú),kámmì,,kámjè,kámjè
squeezing tightly (adverb),,,xxx,sám→,,sárⁿám→,gám-gám,,,,táyⁿ-táyⁿ,,,,kám-ni,,,,,"géŋ→ nɛ̀, káŋ→ nɛ̀",,,,,
"squeeze, mash (sth. soft)",kúmíyⁿ\\kúmíyⁿó,pɔ́rɔ́,kámá,kámá,pɔ́dɔ̀-gɔ̀lɔ̀\\pɔ́dù-gùl-ì,pɔ́rɔ́,káwⁿá,,,púgújù,káwⁿá-\\káwⁿú,,,,kámá,pɔ́s-gùlɛ̀ (pɔ́sɛ̀ 'be squashed'),,,pɔ́dɔ́\\pódá-lì,kám\\kàmè,kámí-yó,kámmì,,,
"squash (e.g. an ant) with a rubbing motion of the finger, against a surface",mɛ̀mùsú\\mɛ̀mùsá,mɛ̀wⁿrⁿú,mɛ̀mírⁿí,lɛ́sí,,lɛ́gɛ́jɛ́,mɛ̀wⁿrⁿɛ́,,,mɛ̀wⁿɛ́,nɛ́wɛ́rⁿɛ́-mɔ́-\\nɛ́wɛ́rⁿɛ́-mú,,,,"némélé, gìŋí-lé, sídí-lé",,,,zɛ̀zílɛ́\\zɛ̀zìlà-lí,nɛ́gíjɛ́,,,,,
"squash (e.g. a large insect) with a circular motion of the foot, on the ground",mɛ̀mùsú\\mɛ̀mùsá,jàsìrí,xxx,gɛ̀dɛ́,,láɣájá,gàgàrá,,,gɛ̀jɛ́,gɛ̀gɛ́jɛ́-mɔ́-\\gɛ̀gɛ́jɛ́-mɔ́,,,,"némélé, gìŋí-lé, sídí-lé",,,,zàzílɛ́\\zàzìlà-lí,námílɛ́,tɔ̀yɛ̀ jɛ́yɔ́,,,,
squash (e.g. a mosquito) in the palm of one's hand,kúmíyⁿ\\kúmíyⁿó,mɛ̀wⁿɛ́,kúmbíyí,pɔ́rɔ́,,"kúmó wɔ̌:, pɔ́rɔ́ wɔ̌:","púgúsɔ́, mɛ̀wⁿɛ́ wɔ̌:",,,,kúm-ɛ́:-\\kúm-í:,,,,pɛ́ɛ́,,,,kúmbí-yó\\kúmbí-yó-lì,kám\\kàmè,pɛ́lɔ́,,,,
squash (e.g. a mosquito) by slapping one's hand against one's arm or other surface,dàpú\\dàpá,pɛ́rɛ́,xxx,pɛ́rɛ́,,pɛ́:,pɛ́:,,,lágá,pɛ́:-\\pɛ́:,,,,,,,,pɛ́:\\pɛ́yá-lì,xxx,,,,,
"run over (e.g. a child, with a wheeled vehicle)",pógú\\pógó,dɔ̀sɔ́,xxx,pógó,,pógó,pógó,,,gɛ̀jɛ́,pógó-\\pógó,,,,"námá, gɛ̀dɛ́",,,,pógó\\pógó-lì,námílɛ́,,,,,
"(pressure) let up, weaken",yɔ̀gú\\yɔ̀gɔ́,yɔ̀rɔ́,,yɔ̀rí,,yɔ̀rɔ́,,,,yɔ̀rɔ́,,,,,nɛ́ɲjí-lí-yɛ́,,,,,,,yɔ́rɛ́,,,
(sb) let up (pressure),yɔ̀gǔ-m\\yɔ̀gù-mɔ́,yɔ̀rù-gú,,yɔ̀rɔ́-gí,,yɔ̀r-gɔ́,,,,yɔ̀rúgì,,,,,nɛ́ɲjí-lɛ́,,,,,,,yɔ́rágè,,,
wring out (e.g. wet garment) by squeezing between one's two hands,kám\\káwⁿá = ká:ⁿ,káwⁿá,pɔ́rɔ́,kámá,kámà\\kám-ì,kɔ́wⁿɔ́,káwⁿá,kówⁿó,,káwⁿá,káwⁿá-\\káwⁿú,,,,kámá,,,,kám\\kámá,kám\\kàmè,,kámmì,,,
wring out (e.g. wet garment) by twisting,mùnú\\mùnɔ́,káwⁿá,kámá,pínjé-mí,kámà\\kám-ì,kɔ́wⁿɔ́,púɲúŋɔ́,,,káwⁿá,mɛ̀ŋɛ́rɛ́-mɔ́-\\mɛ̀ŋɛ́rⁿɛ́-mú,,,,kámá,,,,kám\\kámá,"wùndɛ́ kám\\kàmè, mèmíl kám\\kàmè",,kámmì,,kámmɛ̀,kámí
squeeze out (a little milk from a nearly dry udder),pɔ́tú\\pɔ́tɔ́,céŋgéré,pɔ́rɔ́,péndéré,,pírⁿé,pírⁿé,,,nɛ́ŋú nɛ̀ŋɛ́,pɛ́nɛ́-\\pɛ́nɛ́,,,,péndí-lé,,,,péndé\\péndé-lì,pɛ́jɛ́,,pɛ́zɛ́,,,
"extract a little (liquid, from a nearly dry well or jar)",tɛ́kúrú\\tɛ́kúrá,,,téséré,,séré,séséré,,,nɛ̀ŋɛ́,sélé-\\sélé,,,,"kélé, sélú sélé",,,,tégílé\\tégílé-lì,,,pɛ́zɛ́,,,
clean out (intestine) by wringing,pɔ́rú\\pɔ́rɔ́,pɔ́rɔ́,pɔ́rɔ́,pɔ́rɔ́,,pɔ́rⁿɔ́,pɔ́rɔ́,pɔ́nɔ́,,pɔ́nɔ́,pɔ́nɔ́-\\pɔ́nɔ́,,,,pɔ́ndɔ́,,,,pɔ́ndɔ́\\pɔ́ndá-lì,pɔ́nɛ́,,pɔ́bɛ́,,pínì,píní
"tamp down, press down on (earth, to stop up a hole)",dìŋú\\dìŋá,dɛ̀ŋgí,,dɛ̀ŋí,dɛ̀ŋɛ́\\dɛ́ŋ-ɛ̀,dɛ̀ŋɛ́,"dìŋgé, dɛ̀ŋgɛ́",dùmó,,dìŋé,dɛ̀ŋɛ́-\\dɛ̀ŋɛ́,,,,dìmɛ́,,,,dìŋó\\dìŋè-lí,"dùŋgí, námílɛ́",,témbálì,,díŋgè,dímbé
"tamp down (earth, with foot, to level it)",súkú\\súkɔ́,súsúrú,dǎ:rí,tɛ́wsí,dɛ̀ŋgɛ́\\dɛ́ŋg-ɛ̀,sújɔ́,dìŋgé,,,dìŋé,dɛ̀ŋɛ́-\\dɛ̀ŋɛ́,,,,dìmɛ́,,,,,námílɛ́ dàgá-ndí,,témbálì,,,
"press down on (sth) lightly, tamp down (with hand, foot, or pestle)",,,,,,,dìŋgé,,,dìŋé,nɛ́ɲɛ́-\\nɛ́ɲɛ́,,,,,,,,,,,,,,
push,dǎm\\dàwⁿá,dàmbí,dàmbí,dàmbí,dɔ̀ŋgɔ́\\dɔ́ŋg-ɛ̀,dàmá,dàmbá,dàmá,dàmá,dèmé,dàmá-\\dàmú,,,,dàmbá,,dɔ̀ŋgɛ́,dàmbí (dàmbí-tì-),dàmbú\\dàmbà-lí,dàmbí\\dàmbè,dámbó,túmbyê:,,dúnjúrè,"túmbú-gè, túmbè"
"push and make fall (sth, sb)",dǎm lùkú\\lùkó,dǎm jàrá,dàmbí sí-ndé,dàmbí sɔ́gɔ́,,dàmá jàrá,dàmbá sílé,,,dèmé bàgá-m̀,dàmá pá:rá,,,,dàmbá dùù-ndó,,,,dámbé-y zàdú,dàmbí jǎr\\jàrè,,dámbé,,,
push (sth) to the side,sáŋkìtà kárⁿú\\kárⁿú,,,,,,pógó gùŋgó,,,dèmé gǔŋ̀,dàmá gǒ:-nɔ́,,,,"dàmbá gòò-ndó, dɔ̀rɔ́-mɔ́",,,,,,,,,,
give sb a push upward (e.g. to help him climb a tree),dèmǐ-yⁿ\\dèmìyⁿ-ó,dǎ,xxx,dǎ:,dàmbá\\dámb-ì,dàmá,dǎ:,,,dèmé ná:-ǹ,dàmá-\\dàmú,,,,,,,,dɔ̌:ⁿ\\dwà:ⁿ-lí,xxx,,,,,
pull (sth),gàgú\\gàgá,bàsá,bàsá,bàsá,jìmbɛ́\\jímb-ɛ̀,bàjá,bàsá,bàsá,bàjá,bàjá,bìɲɛ́-\\bìɲɛ́,,,,bìnjé,jìmbɛ́,jìmbɛ́,bàdá (bàdá-tì-),dìlíyó\\dìlìyò-lí,jùmbɛ́,ímbɛ́,gímbɛ́ // gɔ́bɛ́,,gímbɛ̀,gímbɛ́
pull (sth) in toward oneself (e.g. grass),yǎw\\yàwá,wòró,wòró,wòró,,wǎ:,wòró,,,mɔ̀mɔ́,"wòró, bìɲɛ́",,,,"bìnjé jɛ́ɛ́lɛ́, gɔ̀bɔ́ jɛ́ɛ́lɛ́",,,,"wòdó\\wòdò-lí, dìlíyó\\dìlìyò-lí",á:lɛ́,,gímbɛ́,,pámbálè,pámbálè
"(sb) pull (e.g door, garment) with one or more flexed fingers",,wɔ̀gɔ́,,gɔ̀wɔ́,gɔ̀gɔ́\\gɔ́g-ɛ̀,gɔ̀gɔ́,,,,gɔ̀gɔ́,gɔ̀gɔ́ xxx[sense],,,,,,,,,,kújó,,,,
"pull off (twig or small branch, without twisting)",,"lárá, ásá",ásíyí,,,lárá,ásá,,,wòró,,,,,,,,,,tállɛ́,,gímbɛ́nɛ́ árágè,,,
"pull off (small twig, from a tree) without twisting",láktú\\láktá ~ lákútú\\lákútá,pɛ́llí,,"pélé, álá","péllè\\péll-è, léllè\\léll-è",,,,,,léré,,,,,,,,pél-lé\\pél-lé-lì,,gùjàlè góm(ú),,,mélá-gè,tɔ́njɛ́
"pull off, yank off (branch, from a tree) without twisting",láktú\\láktá ~ lákútú\\lákútá,lárá,,àsá-gí,lállà\\láll-ì,,,,,,lárá,,,,,,,,ál-lɛ́\\ál-lá-lì,,,,,,
"pull off, remove by pulling (e.g. flowering stem of onion, leaf at top of millet stem)",,pímbé,,,,,,,,,pémɛ́,,,,,,,,pémbé\\pémbé-lì,,,,,,
pull off or out (e.g. head of seared chicken),dùŋgùrú\\dùŋgùrɔ́,póló,ásíyí,"párá-gí, bàsá párá-gí",,púlló,póló,,púlló,pómó,púló-\\púlú,,,,"mèmí-lé, bìnjé pál-lá",,,,pólló\\pólló-lì,"párá-gí\\pàrà-gè, púllí\\pùllè",bòjè góm(ú),,,,
pull out (meat from oven with a hook),gàgú\\gàgá,bàsá,gɔ̌:,gɔ̀ndí,,bàjá,gɔ̀lɔ́,,,bàjá,gɔ̀nɔ́-\\gɔ̀nɔ́,,,,gɔ̀ndɔ́,,,,,jùmbɛ́,,gímbɛ́nà gó:mì,,,
pull off (e.g. garment) forcefully,zǔw\\zùwó,pálí,"pálí, bàsá zɛ́, pómbó",párá-gí,,pállá,wòró gùŋgó,,kólló,bàjá,bìɲɛ́ gǒ:-nɔ́,,,,ómbó\\ómbí-ló,,,,kólló\\kólló-lì,"wǒr\\wòrè, wǒr gǒ-m",,,,,
"yank, tug on, pull hard on (e.g. rope whose other end is stuck)",zǔw\\zùwó,dùmbó,,jùmbɔ́,,jùmó,,,,tóñó,bìɲɛ́-\\bìɲɛ́,,,,sɛ́mbɛ́ lé bìɲjé/dìɲɲɛ́,,,,,,,,,,
"yank out forcefully (tooth, dead tree, lock from door, gutter from roof, beam from ceiling)",zǔw\\zùwó,bògòró,ásíyí,bògóró,bògòló\\bógùl-ì,wɔ̀mɔ́,bògòró,,,wòró,bɔ̀lɔ́-\\bɔ̀lɔ́,,,,wèdé,,,,wòzúló\\wòzùlò-lí,ǎy\\àyè,,gímbɛ́nà gó:mì,,"gímbɛ̀, ŋɛ̂:",bújɛ́
"rip off, pull off (feet of chicken, etc.)",,álí,pó,pálá,pómbò\\pómb-è,pállá,"pálá, ásá",,,bàjá kí:rì\\kí:ré,pɔ́bɔ́,,,,bìnjé káádí-yɛ́,,,,ázílɛ́\\ázílá-lì,állɛ́,,árágè,,,
slide or pull out (one item at a time),,,tárⁿá,,,,,,,,xxx,,,,"bìnjé gòò-ndó, bɔ̀ɛ́ⁿ",,,,,,,gímbɛ́nà gó:mì,,,bɔ́:gɛ̀
"reel in (e.g. well rope, animal intestines) by arm-lengths",,wà:sí,wà:sí,jùmbɔ́,,wà:já,wà:sá,,,bàjá,bìɲɛ́-\\bìɲɛ́,,,,bìnjé,,,,wá:zɛ́\\wà:zà-lí,,,,,,
drag (sth) on the ground (leaving a trail or wake),gàgú\\gàgá,bùmbú,gǎ:,bùmbí,bùmbɔ́\\búmb-ɛ̀,bùmó,bùmbɔ́,bàsá,,bùmó,bùmɔ́-\\bùmɔ́,,,,bùùdó,,bùsé,,bú:mbɔ́\\bù:mbà-lí,kúgújí\\kùgùjè,kújó,búmbɛ́,,kú:jè,kúgújè
dragging sth forcefully (adverb),,búmbùm búmbùm,,,,,,,,kùjújújú,kùgújújú ,,,,,,,,,,,,,,
